acousticness,album_id,analysis_url,danceability,energy,href,track_id,instrumentalness,loudness,mode,name,track_popularity,preview_url,speechiness,tempo,track_href,uri,valence,images,meditation/relaxation music,release_year
0.989,65S62Zs9wZpPScRaSGExxH,https://api.spotify.com/v1/audio-analysis/3qKER5EFMXjjidU30QROCr,0.308,0.123,https://api.spotify.com/v1/tracks/3qKER5EFMXjjidU30QROCr,3qKER5EFMXjjidU30QROCr,0.887,-23.975,1.0,"Keyboard Sonata No. 60 in C Major, Hob.XVI:50: I. Allegro",28.0,https://p.scdn.co/mp3-preview/7a268641e6ca85b1275d8e4f7b15f947c1581a30?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0366,106.649,https://api.spotify.com/v1/tracks/3qKER5EFMXjjidU30QROCr,spotify:track:3qKER5EFMXjjidU30QROCr,0.245,"[{'height': 640, 'url': 'https://i.scdn.co/image/96b425e4ff586638603bb734fab8df52eafd0267', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/e9a547dcebf4778eb3b245b82acb491c607f99de', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/01636d7aa21a03be96a8cd7ea0b3c32c1d81058f', 'width': 64}]",True,2010
0.954,7fOBjj8qT98BrmaQrxRMgK,https://api.spotify.com/v1/audio-analysis/4VR2Km8m5uasAur3GD0n1C,0.292,0.111,https://api.spotify.com/v1/tracks/4VR2Km8m5uasAur3GD0n1C,4VR2Km8m5uasAur3GD0n1C,0.863,-24.734,1.0,"Piano Concerto No. 3 in C Major, Op. 26: I. Andante. Allegro - Live",39.0,https://p.scdn.co/mp3-preview/d6e9d803ada89fc4be13f96fa1348b99edb9e5fa?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0358,92.523,https://api.spotify.com/v1/tracks/4VR2Km8m5uasAur3GD0n1C,spotify:track:4VR2Km8m5uasAur3GD0n1C,0.103,"[{'height': 640, 'url': 'https://i.scdn.co/image/8c1508d1d1e296cefb88d1d10264fb0af6a6210d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/74bb259415c200f0fd0850296dc5930199c439c0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/63e797ae921431b9d392c5920fe534dbf90df0fa', 'width': 64}]",True,2019
0.988,4GunE6Xrwkb93FgXOYoxkP,https://api.spotify.com/v1/audio-analysis/1Kzxd1kkjaGX4JZz2CYsXB,0.32,0.0681,https://api.spotify.com/v1/tracks/1Kzxd1kkjaGX4JZz2CYsXB,1Kzxd1kkjaGX4JZz2CYsXB,0.915,-29.917,1.0,"Piano concerto No. 2 in G Minor, Op. 22: Piano concerto No. 2 in G Minor, Op. 22: II. Allegro scherzando",31.0,https://p.scdn.co/mp3-preview/fc899bcd54bf4d8558f819b2e5cef2982ed72dc0?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0383,88.845,https://api.spotify.com/v1/tracks/1Kzxd1kkjaGX4JZz2CYsXB,spotify:track:1Kzxd1kkjaGX4JZz2CYsXB,0.329,"[{'height': 635, 'url': 'https://i.scdn.co/image/6644be0f6f21c708b2d6b7cd0d18fbd2704746ce', 'width': 640}, {'height': 297, 'url': 'https://i.scdn.co/image/513e9304fd8e39b509ac8df21de6d262c6ed4fc9', 'width': 300}, {'height': 63, 'url': 'https://i.scdn.co/image/156388ec4d818369c9941ae0c44b8fa9a1a5580f', 'width': 64}]",True,2015
0.978,23wOnMN0RAE49uqjxR7XEC,https://api.spotify.com/v1/audio-analysis/3vTiuA8gFWyR7kCRWDpukH,0.23,0.0329,https://api.spotify.com/v1/tracks/3vTiuA8gFWyR7kCRWDpukH,3vTiuA8gFWyR7kCRWDpukH,0.716,-25.516,1.0,"Flute Concerto in A Minor, Wq. 166, H. 431: II. Andante",28.0,https://p.scdn.co/mp3-preview/aee85ada48b45cd30347f3ef226666661b3419f1?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.049,84.365,https://api.spotify.com/v1/tracks/3vTiuA8gFWyR7kCRWDpukH,spotify:track:3vTiuA8gFWyR7kCRWDpukH,0.187,"[{'height': 637, 'url': 'https://i.scdn.co/image/9f6f5ef76648a56bd540ff84b0624adfbae0de5b', 'width': 640}, {'height': 299, 'url': 'https://i.scdn.co/image/4ee2df1d17d5e44b4f40e8abea867b4dbd444961', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/5da4d4dcf14688d7f2e0bbccfd7b8787955c2571', 'width': 64}]",True,2015
0.962,1zd0zzkmxSBylOQxomTL4Q,https://api.spotify.com/v1/audio-analysis/1AXVWfnJH1ddoXZ6o3s7VD,0.0703,0.00756,https://api.spotify.com/v1/tracks/1AXVWfnJH1ddoXZ6o3s7VD,1AXVWfnJH1ddoXZ6o3s7VD,0.708,-32.193,1.0,"Symphony No. 9 in E Minor, Op. 95 'From the New World': II. Largo",25.0,https://p.scdn.co/mp3-preview/5a541b0df6e86b556c5862a43b5f750fa407dd99?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0449,76.089,https://api.spotify.com/v1/tracks/1AXVWfnJH1ddoXZ6o3s7VD,spotify:track:1AXVWfnJH1ddoXZ6o3s7VD,0.0373,"[{'height': 640, 'url': 'https://i.scdn.co/image/1e576d792dcecb64bb14dd0c28940e963bdf55da', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/1492e54a2f18410fe18727c1eb9f1174af120beb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/84a35dd74923685394e033e0bc23a9bdf8437fd5', 'width': 64}]",True,2017
0.918,2YF3XbThv1xMERB9BatkOw,https://api.spotify.com/v1/audio-analysis/1a2LoSD6RhD5fdvsa9PopL,0.113,0.0229,https://api.spotify.com/v1/tracks/1a2LoSD6RhD5fdvsa9PopL,1a2LoSD6RhD5fdvsa9PopL,0.8,-25.441,1.0,"Symphony No. 4 in E Minor, Op. 98: II. Andante moderato",19.0,https://p.scdn.co/mp3-preview/c29b7c4561b49a48d21bfd1017170bc1d88b59c7?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0417,92.985,https://api.spotify.com/v1/tracks/1a2LoSD6RhD5fdvsa9PopL,spotify:track:1a2LoSD6RhD5fdvsa9PopL,0.0371,"[{'height': 640, 'url': 'https://i.scdn.co/image/380527e46b2af6a38a168b121b12f1a247e1e2e3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/a3b0f1c78647d6fee782e1e689da05d830adf2d0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/223437c1f1e10acf6474031bd3ce137437635478', 'width': 64}]",True,2017
0.961,7p4CDmuqFdP7wXYhCtspyq,https://api.spotify.com/v1/audio-analysis/0H7Vd0wkn51oq1df62ruUv,0.0838,0.0339,https://api.spotify.com/v1/tracks/0H7Vd0wkn51oq1df62ruUv,0H7Vd0wkn51oq1df62ruUv,0.733,-25.519,1.0,"Symphony No. 6 in A Major, WAB 106 (ed. L. Nowak): II. Adagio. Sehr feierlich",16.0,https://p.scdn.co/mp3-preview/9061f40755201c6a83eb64603ceb0991e3cc9f51?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0433,83.962,https://api.spotify.com/v1/tracks/0H7Vd0wkn51oq1df62ruUv,spotify:track:0H7Vd0wkn51oq1df62ruUv,0.0332,"[{'height': 640, 'url': 'https://i.scdn.co/image/c5272f06268fe1d8f4ed3f8164beca5a16357e34', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/e41552285e140203c5f59fca14b49b8ee79c6191', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/f77a035d8eb60113ecc1e24d2ee303599919e049', 'width': 64}]",True,2011
0.899,3oobw3AF0ARcbdZUtpst3T,https://api.spotify.com/v1/audio-analysis/2D1QgcklgDNLTVeLvc4J0P,0.215,0.046,https://api.spotify.com/v1/tracks/2D1QgcklgDNLTVeLvc4J0P,2D1QgcklgDNLTVeLvc4J0P,0.912,-25.467,0.0,"Symphony in C Major, WD 33: II. Adagio",17.0,https://p.scdn.co/mp3-preview/61d70320239cca8228fbd211af3e4d96f03c4901?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0417,124.149,https://api.spotify.com/v1/tracks/2D1QgcklgDNLTVeLvc4J0P,spotify:track:2D1QgcklgDNLTVeLvc4J0P,0.0593,"[{'height': 640, 'url': 'https://i.scdn.co/image/8251f192e1fec5fbc5d8d906b2c36c4207713010', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/d8a63d2db29405c11f6e5db07aa597b620c5ba10', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/7d2208abbc13f90ce0b17d3fe28415640f68f52d', 'width': 64}]",True,1968
0.979,7cBqem0qFjhDm9A1ujrp7e,https://api.spotify.com/v1/audio-analysis/6CSCXBng5RW2WYdc9RQ0pm,0.0706,0.0441,https://api.spotify.com/v1/tracks/6CSCXBng5RW2WYdc9RQ0pm,6CSCXBng5RW2WYdc9RQ0pm,0.929,-23.118,1.0,"Symphony No. 1 in B Minor, Op. 4: II. Andante pastorale con moto",16.0,https://p.scdn.co/mp3-preview/b3e74809b4a0633c28ee5114e3356d1a5acc234d?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0464,76.703,https://api.spotify.com/v1/tracks/6CSCXBng5RW2WYdc9RQ0pm,spotify:track:6CSCXBng5RW2WYdc9RQ0pm,0.0357,"[{'height': 640, 'url': 'https://i.scdn.co/image/0de92383f671daf71ea8e716e76f452e59bb2e6c', 'width': 636}, {'height': 300, 'url': 'https://i.scdn.co/image/69464b7bba7075092e556ad46fe33b54c9db7496', 'width': 298}, {'height': 64, 'url': 'https://i.scdn.co/image/caba93084e2017095cae01caceaca34a130f0ace', 'width': 64}]",True,2003
0.925,08ixaQKSZucz8Wt355P5Xr,https://api.spotify.com/v1/audio-analysis/1F5JRzumakTtLYh5QNOzEH,0.111,0.0434,https://api.spotify.com/v1/tracks/1F5JRzumakTtLYh5QNOzEH,1F5JRzumakTtLYh5QNOzEH,0.851,-26.413,1.0,Symphony No. 4 in C Major: II. Adagio —,13.0,https://p.scdn.co/mp3-preview/bb4212ab22df4b7d7d5ae2f7aec122490755540a?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0469,73.37,https://api.spotify.com/v1/tracks/1F5JRzumakTtLYh5QNOzEH,spotify:track:1F5JRzumakTtLYh5QNOzEH,0.0328,"[{'height': 624, 'url': 'https://i.scdn.co/image/f83aa58aa023c38f6a4148691dad78440f17cf93', 'width': 640}, {'height': 293, 'url': 'https://i.scdn.co/image/acf5c38aab3ea8358a504f216f096a6ac3a62fbe', 'width': 300}, {'height': 62, 'url': 'https://i.scdn.co/image/35ad8764491202f8fa7cf81c9c2999bf6cbaf8c8', 'width': 64}]",True,1996
